transcript	SRR1976948	SRR1977249
k99_839	147.525	65.9936
k99_846	10.7193	1.56243
k99_847	9.14369	1.58755
k99_851	7.42373	0.0
k99_852	182.501	142.685
k99_853	38.6601	18.7228
k99_854	190.946	3171.48
k99_858	1700.39	323.968
k99_864	9.86954	7.12541
k99_870	361.771	341.296
k99_875	7.71052	5.18202
k99_890	2.82378	4.21336
k99_891	15.6445	11.4469
k99_892	9.74191	2.82024
k99_893	254.799	217.311
k99_899	29.8401	14.1023
k99_900	14.9894	0.530704
k99_906	11.2737	0.528172
k99_908	1587.42	77.7
k99_912	64.8787	27.2433
k99_913	78.1448	18.5744
k99_916	42.3299	17.9043
k99_917	197.145	164.416
k99_918	15.1948	3.95495
k99_923	40.0864	17.4564
k99_929	11.0823	1.1753
k99_930	1329.54	814.72
k99_931	12.2939	2.01527
k99_944	152.925	145.375
k99_974	41.5505	15.5791
k99_977	23.6887	7.87388
k99_998	16.3572	5.87769
k99_1001	39.9312	43.8435
k99_1011	10.2599	3.86932
k99_1013	706.959	469.859
k99_1017	14.2664	6.14302
k99_1018	9.29523	1.02237
k99_1019	145.084	138.313
k99_1020	0.234427	36.8272
k99_1022	455.461	289.406
k99_1023	16.4504	0.0
k99_1030	13.6051	7.10941
k99_1038	321.994	374.556
k99_1049	8.16265	4.10186
k99_1051	23.1782	40.2802
k99_1059	26.4742	11.4594
k99_1060	13.1055	2.63779
k99_1061	11.1551	1.60981
k99_1063	187.44	172.624
k99_1064	21.6465	11.3055
k99_1066	6770.81	3112.66
k99_1068	147.839	173.888
k99_1073	21.2327	6.96056
k99_1081	1764.25	545.925
k99_1082	155.379	142.713
k99_1086	0.173514	46.5664
k99_1087	1800.99	841.357
k99_1091	216.872	174.935
k99_1096	31.9528	14.3437
k99_1097	4762.59	2290.53
k99_1099	7.47827	2.52799
k99_1101	11.6172	2.18752
k99_1104	55.4936	25.5609
k99_1112	9.88187	6.86651
k99_1121	39.137	17.6167
k99_1122	37.4174	16.6919
k99_1123	2054.81	69.6462
k99_1125	244.903	217.002
k99_1126	201.946	194.192
k99_1127	28.5348	13.2683
k99_1128	18.4996	8.3984
